肖申克的救赎,弗兰克·德拉邦特 Frank Darabont,1994,9.7,2817728
霸王别姬,陈凯歌 Kaige Chen,1993,9.6,2083966
阿甘正传,罗伯特·泽米吉斯 Robert Zemeckis,1994,9.5,2109983
泰坦尼克号,詹姆斯·卡梅隆 James Cameron,1997,9.5,2073798
这个杀手不太冷,吕克·贝松 Luc Besson,1994,9.4,2244620
美丽人生,罗伯托·贝尼尼 Roberto Benigni,1997,9.6,1296608
千与千寻,宫崎骏 Hayao Miyazaki,2001,9.4,2186179
辛德勒的名单,史蒂文·斯皮尔伯格 Steven Spielberg,1993,9.6,1080192
盗梦空间,克里斯托弗·诺兰 Christopher Nolan,2010,9.4,2015727
星际穿越,克里斯托弗·诺兰 Christopher Nolan,2014,9.4,1778848
楚门的世界,彼得·威尔 Peter Weir,1998,9.4,1650829
忠犬八公的故事,莱塞·霍尔斯道姆 Lasse Hallström,2009,9.4,1368528
海上钢琴师,朱塞佩·托纳多雷 Giuseppe Tornatore,1998,9.3,1641507
三傻大闹宝莱坞,拉库马·希拉尼 Rajkumar Hirani,2009,9.2,1819602
放牛班的春天,克里斯托夫·巴拉蒂 Christophe Barratier,2004,9.3,1282729
机器人总动员,安德鲁·斯坦顿 Andrew Stanton,2008,9.3,1287731
无间道,刘伟强 / 麦兆辉,2002,9.3,1326633
疯狂动物城,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,2016,9.2,1877636
控方证人,比利·怀尔德 Billy Wilder,1957,9.6,532487
大话西游之大圣娶亲,刘镇伟 Jeffrey Lau,1995,9.2,1498588
熔炉,黄东赫 Dong-hyuk Hwang,2011,9.4,911878
教父,弗朗西斯·福特·科波拉 Francis Ford Coppola,1972,9.3,941467
当幸福来敲门,加布里尔·穆奇诺 Gabriele Muccino,2006,9.2,1486651
触不可及,奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,2011,9.3,1081637
怦然心动,罗伯·莱纳 Rob Reiner,2010,9.1,1791169
龙猫,宫崎骏 Hayao Miyazaki,1988,9.2,1235366
末代皇帝,贝纳尔多·贝托鲁奇 Bernardo Bertolucci,1987,9.3,852777
寻梦环游记,李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,2017,9.1,1627145
活着,张艺谋 Yimou Zhang,1994,9.3,821129
蝙蝠侠：黑暗骑士,克里斯托弗·诺兰 Christopher Nolan,2008,9.2,1031391
哈利·波特与魔法石,Chris Columbus,2001,9.2,1153120
指环王3：王者无敌,彼得·杰克逊 Peter Jackson,2003,9.3,783487
乱世佳人,维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,1939,9.3,674019
我不是药神,文牧野 Muye Wen,2018,9.0,2050463
素媛,李濬益 Jun-ik Lee,2013,9.3,669895
飞屋环游记,彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,2009,9.1,1293649
何以为家,娜丁·拉巴基 Nadine Labaki,2018,9.1,1020123
十二怒汉,Sidney Lumet,1957,9.4,475498
摔跤吧！爸爸,涅提·蒂瓦里 Nitesh Tiwari,2016,9.0,1535831
哈尔的移动城堡,宫崎骏 Hayao Miyazaki,2004,9.1,994028
鬼子来了,姜文 Wen Jiang,2000,9.3,611083
少年派的奇幻漂流,李安 Ang Lee,2012,9.1,1323156
让子弹飞,姜文 Wen Jiang,2010,9.0,1657739
猫鼠游戏,史蒂文·斯皮尔伯格 Steven Spielberg,2002,9.1,990346
海蒂和爷爷,阿兰·葛斯彭纳 Alain Gsponer,2015,9.3,582776
钢琴家,罗曼·波兰斯基 Roman Polanski,2002,9.3,616634
大话西游之月光宝盒,刘镇伟 Jeffrey Lau,1995,9.0,1193711
天空之城,宫崎骏 Hayao Miyazaki,1986,9.2,800332
指环王2：双塔奇兵,彼得·杰克逊 Peter Jackson,2002,9.2,733771
闻香识女人,马丁·布莱斯 Martin Brest,1992,9.1,857941
天堂电影院,朱塞佩·托纳多雷 Giuseppe Tornatore,1988,9.2,666527
罗马假日,威廉·惠勒 William Wyler,1953,9.1,929487
死亡诗社,彼得·威尔 Peter Weir,1989,9.2,701484
绿皮书,彼得·法雷里 Peter Farrelly,2018,8.9,1603386
大闹天宫,万籁鸣 Laiming Wan,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆),9.4,424050
指环王1：护戒使者,彼得·杰克逊 Peter Jackson,2001,9.1,825943
黑客帝国,安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski,1999,9.1,818492
教父2,弗朗西斯·福特·科波拉 Francis Ford Coppola,1974,9.3,536769
狮子王,Roger Allers / 罗伯·明可夫 Rob Minkoff,1994,9.1,816698
辩护人,杨宇硕 Woo-seok Yang,2013,9.2,577497
