数据分析实习生-双语,北京,数据分析,产品,2,实习,"1、熟练运用excel、powerpoint、visio、xmind等软件；
2、有较强的英文读写能力，能独立进行双语转换的翻译工作；
3、具有较强的逻辑分析和判断能力，善于沟通，具有良好的团队合作精神；
4、责任心强、诚信敬业。","1、负责项目的数据整理和分析支持，对行业调研材料的总结归纳分类；
2、将项目报告材料转写成英文版本，对英文报告材料翻译为中文版本；
3、听真实通话录音，模拟销售顾问，录制产品演示视频。"
抖音电商 - 数据分析师实习生,上海,数据分析,产品,2,实习,"1、本科及以上学历，统计学、应用数学、计算机等理工科专业背景优先；
2、对数据敏感，对数据类工作有高度热情；
3、对大数据应用场景有一定认识，有数据仓库、BI、数据挖掘、用户画像等方面的经验者优先；
4、熟悉SQL/Hive，至少可以熟练使用一种数据可视化分析工具；
5、沟通表达能力优、抗压能力强、协调推动能力好。","1、参与电商数据体系建设，结合字节跳动全域数据生态，为电商产品及业务的发展提供数据能力支撑；
2、参与数据模型的规划与设计、业务数据报表需求分析、设计、落地，为业务及管理层提供决策支持；
3、挖掘电商业务中的各项数据需求，探索创新型数据产品，驱动模型和策略的优化。"
数据分析实习生,北京,运营,无,2,实习,"1、计算机、统计学、数学等相关专业，具有统计分析、数据挖掘、NLP、推荐、运筹学等知识背景；
2、具备优秀的数据分析能力，熟练使用Excel, 熟练SQL/Hive等数据库语言，熟悉Python等数据处理语言；
3、优秀的逻辑分析思维，能够清晰有条理地拆解开放性问题；极强的自驱力，能快速接受大量信息并主动地探索和解决难题；
4、良好的快速学习能力，能够针对全新知识领域或方法工具快速学习并解决问题。
","1、参与基于字节全域数据的汽车业务数据分析、数据建模、数据可视化相关工作；
2、基于数据分析及数据探索，沉淀不同业务场景下度量体系、用户精细化运营/营销解决方案和方法论体系;
3、参与数据产品各方面的度量与预演工作，包括但不限于数据质量探索、数据清洗、表结构设计、数据分析模型搭建、产品功能可行性预演以及商业化价值预演等，与数据产品、数据开发紧密合作，推进产品高质量交付上线。"
数据分析实习生,武汉,运营,无,2,实习,"1、至少连续实习3个月，每周保证3-4天工作时间；
2、逻辑清晰并注重细节，良好的表达能力、对数据有敏锐的洞察力；
3、具备良好团队合作精神，抗压能力强、按时保质地完成交办的各项工作任务；
4、掌握基本的数据分析工具，例如Excel、SQL、SPSS、R、Python等等；
5、熟悉常用数据统计和分析方法、对机器学习模型有一定的实践经验。","1、对日常数据进行整理和分析，搭建数据模型，撰写数据分析报告；
2、通过数据分析、用户调研、需求收集等方式，发现潜在产品需求和优化点；
3、协助数据分析师完成SQL提取关键指标，搭建数据看板，支撑各团队的业务决策。"
销售数据分析实习生-飞书,北京,销售运营,运营,2,实习,"1. 统计学、计算机等相关专业背景，或有过数据分析、策略洞察、销售运营相关实习经验；
2. 熟练操作Excel、SQL等数据提取、处理和分析软件;
3. 思维敏捷，理解力、沟通、学习能力强，责任感强，可以快速上手新系统，新流程等; 
4. 本科或研究生在读，可全职实习，每周可保证至少4个工作日的实习，实习周期不少于6个月，可长期实习者优先。","1. 完成销售运营相关数据分析、数据处理相关工作; 
2. 支持Saas业务外部洞察报告的信息搜集整理；
3. 销售部门的日常运营支持，例如对CRM系统中的数据进行定期维护与管理; 
4. 支持客户调研访谈、公司内部部门间的沟通和协调事件的处理。"
数据仓库与数据分析实习生,北京,大数据,研发,2,实习,"1、良好的数据敏感度，能从海量数据发现问题；
2、有数据仓库理论和实践经验，熟悉数据仓库相关技术；
3、有常用数据分析工具的相关经验；
4、有大数据集、分布式计算工具（Map/Reduce，Hadoop，Hive等）工作经验优先；
5、思路清晰，善于思考，有很强的数据分析能力，能独立分析问题并推动解决问题；
6、能够长期实习并有转正意向的优先。","1、负责数据仓库架构设计、建模和ETL开发，构建可扩展的数据仓库和分析解决方案；
2、负责分析和解释产品试验，市场活动等的结果，为产品改进，推广试验等提供数据支持。"
合作商运营实习生-数据分析,北京,运营,无,2,实习,"1. 本科大三或研一、研二；实习周期至少3个月及以上，每周至少在岗4天，全职实习者优先；
2. 具备较好的数据分析能力，熟练掌握Excel，SQL；Python为加分项；
3. 有数据服务行业实习经验者优先；
4. 良好的分析问题和解决问题能力，具有较强的学习能力及沟通协调能力。","1. 负责合作商运营日常业务数据收集、分析和统计，输出相关报告，协助团队搭建数据化运营体系；
2. 负责合作商日常项目支持及绩效考核，协助团队深度分析合作商业务能力，并将分析结果应用于实际业务场景；
3. 基于数据分析、挖掘，结合历史数据和业务侧信息，定位数据变化和业务问题，归纳原因要素，撰写分析报告，提出优化建议；
4. 根据业务需求，协助部门完成其他日常工作。"
抖音市场数据分析实习生,北京,市场,无,2,实习,"1、本科以上学历，含研究生在读，有数据采集分析与建模经验者优先，有大型、多类别数据管理经验者优先；
2、熟悉Python、sql等编程语言，了解算法和数据结构基础，可进行简单的数据处理和基础建模工作，如清洗、规范存储、基础的算法等，有编码能力者优先；
3、熟悉Office办公软件，如Excel、Word；
4、责任心强、工作细致、积极主动、沟通能力强、富有学习热情和团队合作精神；
5、掌握任何模型技能及经验（如CF、MF、FM、Word2vec、LR、GBDT、DNN、Wide&Deep等常用的算法模型），请在简历上完整罗列。","1、协助市场进行数据分析收集工具开发；
2、独立处理线上、线下渠道基本数据信息的采集（含爬虫）；
3、挖掘和分析海量用户行为数据，进行用户长短期兴趣建模，以及潜在兴趣预测，提升推荐的精准性；
4、支持日常市场投放资源的数据整理工作。"
风险运营实习生（数据分析）-海外广告安全,北京,商业运营,运营,2,实习,"1. 本科或研究生在读，大三、研一研二优先，统计、数学相关专业优先，对数据分析有强烈兴趣者优先；
2. 精通Excel，有大型互联网公司数据分析经验、互联网数据分析经验者，熟悉SQL和Python者优先；
3. 英语专业，雅思7/托福90/六级530+/专四以上，有笔译功底加分；
4. 实习周期三个月或更长；尽快入职，保证每周4天以上；
5. 能快速理解业务，发掘业务细节和数据之间的联系；
6. 积极、主动、耐心、踏实、高效、善于沟通，抗压能力强；
7. 热爱互联网行业，并认可ByteDance文化。","1. 负责风险运营的业务分析工作，通过对数据的收集、统计分析与利用，编制分析报告;
2. 负责风险运营日常数据统计分析，针对异常情况进行跟踪和深入分析;
3. 数据报表展现及支持业务方及团队内部数据需求；
4. 其他相关工作任务。"
国际化电商-整合营销-数据分析实习生,上海,运营,无,2,实习,"1、本科或研究生在读，数学、计算机科学、统计学等理工专业优先；
2、有知名咨询公司、PE、VC、互联网、数据科学实习经历优先；
3、具有行业研究分析的基本能力，如问题分析能力、Excel建模/PPT技能等，对数据分析感兴趣、掌握SQL/Python等技能，有建立模型和数据自动化经验优先；
4、良好的沟通能力，能够较好地配合团队工作，英语能力优秀，能用英语日常沟通；
5、具备自我驱动能力，出色的克服困难、解决问题的能力，愿意学习，与平台共同成长。","1、通过编程自动化信息和数据抓取及模型；
2、建立模型对日常数据进行追踪和更新；
3、对业务团队各类经营指标进行日常监控和数据分析专题研究，并提供业务优化方案；
4、对市场进行调研和研究，协助出具相应的研究报告。"
