大鱼,蒂姆·波顿 Tim Burton,2003,8.8,549690
新世界,朴勋政 Hoon-jung Park,2013,8.9,403765
哪吒闹海,王树忱 Shuchen Wang / 严定宪 Dingxian Yan,1979,9.2,247401
射雕英雄传之东成西就,刘镇伟 Jeffrey Lau,1993,8.7,609325
阳光姐妹淘,姜炯哲 Hyeong-Cheol Kang,2011,8.8,575757
我是山姆,杰茜·尼尔森 Jessie Nelson,2001,9.0,324871
头号玩家,史蒂文·斯皮尔伯格 Steven Spielberg,2018,8.7,1316879
恐怖直播,金秉祐 Byeong-woo Kim,2013,8.7,628688
模仿游戏,莫滕·泰杜姆 Morten Tyldum,2014,8.8,621191
喜宴,李安 Ang Lee,1993,9.0,343004
血战钢锯岭,梅尔·吉布森 Mel Gibson,2016,8.7,758385
七武士,黑泽明 Akira Kurosawa,1954,9.3,188836
花样年华,王家卫 Kar Wai Wong,2000,8.7,577793
九品芝麻官,王晶 Jing Wong,1994,8.7,639510
头脑特工队,彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen,2015,8.8,583619
黑客帝国3：矩阵革命,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski,2003,8.8,430689
惊魂记,阿尔弗雷德·希区柯克 Alfred Hitchcock,1960,9.0,275066
电锯惊魂,詹姆斯·温 James Wan,2004,8.8,509371
色，戒,李安 Ang Lee,2007,8.6,752539
三块广告牌,马丁·麦克唐纳 Martin McDonagh,2017,8.7,792275
茶馆,谢添 Tian Xie,1982(中国大陆),9.5,127079
你的名字。,新海诚 Makoto Shinkai,2016,8.5,1335701
达拉斯买家俱乐部,让-马克·瓦雷 Jean-Marc Vallée,2013,8.8,436786
卢旺达饭店,特瑞·乔治 Terry George,2004,8.9,316346
疯狂原始人,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,2013,8.7,809725
心迷宫,忻钰坤 Yukun Xin,2014,8.7,498054
上帝之城,费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund,2002,9.0,291974
谍影重重3,保罗·格林格拉斯 Paul Greengrass,2007,8.8,402553
英雄本色,吴宇森 John Woo,1986,8.6,513263
风之谷,宫崎骏 Hayao Miyazaki,1984,8.9,343206
纵横四海,吴宇森 John Woo,1991,8.8,404158
海街日记,是枝裕和 Hirokazu Koreeda,2015,8.8,427722
绿里奇迹,弗兰克·德拉邦特 Frank Darabont,1999,8.9,314231
爱在午夜降临前,理查德·林克莱特 Richard Linklater,2013,8.9,379617
记忆碎片,克里斯托弗·诺兰 Christopher Nolan,2000,8.7,580591
岁月神偷,罗启锐 Alex Law,2010,8.7,560494
忠犬八公物语,Seijirô Kôyama,1987,9.2,186352
荒蛮故事,达米安·斯兹弗隆 Damián Szifron,2014,8.8,426482
疯狂的石头,宁浩 Hao Ning,2006,8.6,786968
爆裂鼓手,达米恩·查泽雷 Damien Chazelle,2014,8.7,562550
小偷家族,是枝裕和 Hirokazu Koreeda,2018,8.7,786544
无敌破坏王,瑞奇·莫尔 Rich Moore,2012,8.7,515441
雨中曲,斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,1952,9.1,211896
贫民窟的百万富翁,丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,2008,8.6,722566
冰川时代,卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,2002,8.6,590202
东邪西毒,王家卫 Kar Wai Wong,1994,8.6,554929
2001太空漫游,斯坦利·库布里克 Stanley Kubrick,1968,8.9,305713
真爱至上,理查德·柯蒂斯 Richard Curtis,2003,8.6,710290
恐怖游轮,克里斯托弗·史密斯 Christopher Smith,2009,8.5,820253
无间道2,刘伟强 / 麦兆辉,2003,8.7,452554
背靠背，脸对脸,黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang,1994,9.5,120511
小丑,托德·菲利普斯 Todd Phillips,2019,8.7,966057
你看起来好像很好吃,藤森雅也 Masaya Fujimori,2010,8.9,320981
牯岭街少年杀人事件,杨德昌 Edward Yang,1991,8.9,281944
遗愿清单,罗伯·莱纳 Rob Reiner,2007,8.7,434930
黑天鹅,达伦·阿罗诺夫斯基 Darren Aronofsky,2010,8.6,759486
魔女宅急便,宫崎骏 Hayao Miyazaki,1989,8.7,439630
大佛普拉斯,黄信尧 Hsin-yao Huang,2017,8.7,431392
东京教父,今敏 Satoshi Kon,2003,9.0,213255
可可西里,陆川 Chuan Lu,2004,8.9,291290
城市之光,Charles Chaplin,1931,9.3,138645
雨人,巴瑞·莱文森 Barry Levinson,1988,8.7,390223
恋恋笔记本,尼克·卡索维茨 Nick Cassavetes,2004,8.6,644467
心灵奇旅,彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers,2020,8.7,927511
源代码,邓肯·琼斯 Duncan Jones,2011,8.5,805834
初恋这件小事,"普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...<br>
                            2010",2016,8.6,502067
人工智能,史蒂文·斯皮尔伯格 Steven Spielberg,2001,8.7,427356
虎口脱险,杰拉尔·乌里 Gérard Oury,1966,8.9,245028
萤火虫之墓,高畑勋 Isao Takahata,1988,8.7,393792
波西米亚狂想曲,布莱恩·辛格 Bryan Singer,2018,8.6,577810
青蛇,徐克 Hark Tsui,1993,8.6,503177
罗生门,黑泽明 Akira Kurosawa,1950,8.8,301087
终结者2：审判日,詹姆斯·卡梅隆 James Cameron,1991,8.8,328580
疯狂的麦克斯4：狂暴之路,乔治·米勒 George Miller,2015,8.7,506589
新龙门客栈,李惠民 Raymond Lee,1992,8.7,425136
奇迹男孩,斯蒂芬·卓博斯基 Stephen Chbosky,2017,8.6,535606
二十二,郭柯 Ke Guo,2015,8.7,283781
无耻混蛋,Quentin Tarantino,2009,8.6,455559
千钧一发,安德鲁·尼科尔 Andrew Niccol,1997,8.8,280849
崖上的波妞,宫崎骏 Hayao Miyazaki,2008,8.6,468753
房间,伦尼·阿伯拉罕森 Lenny Abrahamson,2015,8.8,358844
